day,count,artist,track
"7/18/2023","34","Hydelic","Walls"
"7/18/2023","33","DJ Shadow","Let's Get It (Bass, Bass, Bass)"
"7/17/2023","18","Kendrick Lamar","Mirror"
"7/13/2023","16","Jakey","Fat Head"
"7/13/2023","64","Nxworries","Another Time"
"7/12/2023","18","Tyler, the Creator","I THINK"
"7/12/2023","19","Crack Ignaz","Asciutta (feat. hqwilli)"
"7/11/2023","29","Nxworries","Fkku"
"7/11/2023","17","The Prodigy","Smack My Bitch Up"
"7/10/2023","32","The Prodigy","Smack My Bitch Up - Noisia Remix"
"7/3/2023","65","Brock Berrigan","Kindred Spirits"
"6/30/2023","15","Wu-Tang Clan","C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk) - A Cappella"
"6/29/2023","20","Sebastian","Doggg"
"6/29/2023","21","Death from Above 1979","Holy Books"
"6/29/2023","15","Skrillex","Still Here (with the ones that I came with)"
"6/29/2023","18","DJ Shadow","Best Foot Forward"
"6/28/2023","15","DJ Shadow","Napalm Brain / Scatter Brain - Medley"
"6/28/2023","34","Hydelic","Walls"
"6/27/2023","16","Yves Tumor","Meteora Blues"
"6/27/2023","87","Flume","High Beams"
"6/24/2023","15","AllttA","Anaconda"
"6/23/2023","18","AllttA","Optimum"
"6/20/2023","15","Machine Girl","MG2"
"6/14/2023","35","Death from Above 1979","NVR 4EVR"
"6/5/2023","20","Yves Tumor","Mssng Naw"
"6/4/2023","65","Boards of Canada","Turquoise Hexagon Sun"
"6/4/2023","21","MedaSin","Always In A Hurry"
"6/4/2023","24","Yves Tumor","A Greater Love"
"6/3/2023","23","Nujabes","Luv (sic) pt2 Acoustica"
"6/3/2023","15","KAYTRANADA","Bullets"
"6/2/2023","39","Nujabes","Lady Brown (feat. Cise Starr from CYNE)"
"6/1/2023","15","Flying Lotus","Massage Situation"
"5/30/2023","22","Hudson Mohawke","Behold"
"5/27/2023","15","Four Tet","This Is for You"
"5/27/2023","16","Jerry Folk","Flawless"
"5/25/2023","16","KaytrAminé","UGH UGH"
"5/24/2023","27","KaytrAminé","Master P"
"5/19/2023","23","Daft Punk","Touch (2021 Epilogue) [feat. Paul Williams]"
"5/9/2023","24","Machine Girl","MG1"
"5/8/2023","29","Tyler, the Creator","HOT WIND BLOWS (feat. Lil Wayne)"
"5/8/2023","17","Hudson Mohawke","Rain Shadow"
"5/4/2023","22","Flume","SKY SKY 1.3 [2016 Export Wav]"
"4/27/2023","22","LCD Soundsystem","get innocuous! - live at madison square garden"
"4/25/2023","17","LCD Soundsystem","(We Don't Need This) Fascist Groove Thang - electric lady sessions"
"4/24/2023","25","LCD Soundsystem","Yr City's A Sucker"
"4/23/2023","35","LCD Soundsystem","Yeah (Pretentious Mix)"
"4/23/2023","16","Girl Talk","Peak Out"
"4/16/2023","32","Tyler, the Creator","IFHY (feat. Pharrell)"
"4/2/2023","26","Flume","Palaces"
"4/2/2023","19","Simian Mobile Disco","Drone Follows Me Everywhere"
"3/31/2023","28","Lakou Mizik","Ogou (Pran Ka Mwen) - Edit"
"3/25/2023","29","King Gizzard & The Lizard Wizard","Willoughby's Beach"
"3/23/2023","39","King Gizzard & The Lizard Wizard","Hate Dancin'"
"3/15/2023","17","King Gizzard & The Lizard Wizard","Iron Lung"
"3/9/2023","27","Sam Gellaitry","Resolution"
"3/9/2023","15","KAYTRANADA","Bullets"
"3/7/2023","17","Karma Fields","CODE 10-31"
"3/7/2023","28","Simian Mobile Disco","Scott"
"3/4/2023","19","Flume","Hi This Is Flume"
"3/1/2023","23","King Gizzard & The Lizard Wizard","The Funeral"
"2/28/2023","41","King Gizzard & The Lizard Wizard","The River (Live in Luxembourg '19)"
"2/28/2023","35","Gorillaz","19-2000 (Soulchild remix)"
"2/25/2023","15","Gorillaz","Oil (feat. Stevie Nicks)"
"2/24/2023","19","Skrillex","TOO BIZARRE (juked)"
"2/23/2023","26","Skrillex","Still Here (with the ones that I came with)"
"2/23/2023","38","Flume","Spring"
"2/21/2023","50","Skrillex","Still Here (with the ones that I came with)"
"2/20/2023","19","Noisia","The Hole Pt. 1"
"2/20/2023","15","Skrillex","Horizon"
"2/19/2023","24","Skrillex","Hydrate"
"2/18/2023","25","Brock Berrigan","Hazel Pt. 2"
"2/17/2023","17","Skrillex","RATATA"
"2/17/2023","21","Disclosure","Deep Sea (DJ-Kicks) - Mixed"
"2/16/2023","19","MGMT","An Orphan of Fortune"
"2/15/2023","31","Sam Gellaitry","Pressures"
"2/15/2023","28","Flume","beat 58.1.1 [2020 Export Wav]"
"2/14/2023","17","Flume","Things Don't Always Go The Way You Plan 1.2 [2020 Export Wav]"
"2/13/2023","61","Flume","Things Don't Always Go The Way You Plan 1.2 [2020 Export Wav]"
"2/12/2023","29","Flume","Things Don't Always Go The Way You Plan 1.2 [2020 Export Wav]"
"2/11/2023","22","Flume","Things Don't Always Go The Way You Plan 1.2 [2020 Export Wav]"
"2/10/2023","73","Flume","SPOKE 2 ALIENS FINALLY 1.3 [2020 Export Wav]"
"2/8/2023","20","LCD Soundsystem","change yr mind"
"2/7/2023","34","Gorillaz","O Green World"
"1/26/2023","16","Mac DeMarco","Gualala"
"1/25/2023","16","Bonobo","Tides"
"1/19/2023","22","Digitalism","Encore"
