year,artist,count,tag
"2023","Hydelic","79","Soundtrack"
"2023","DJ Shadow","77","trip-hop"
"2023","AllttA","99","Hip-Hop"
"2023","Flume","741","electronic"
"2023","KAYTRANADA","148","electronic"
"2023","Little Dragon","66","trip-hop"
"2023","Daft Punk","109","electronic"
"2023","Childish Gambino","42","Hip-Hop"
"2023","Letherette","24","instrumental hip-hop"
"2023","Home","53","chillwave"
"2023","Kill Them With Colour","4","electronic"
"2023","Teebs","9","downtempo"
"2023","Gus Dapperton","88","indie pop"
"2023","Kim Petras","8","pop"
"2023","QUIET BISON","31","experimental"
"2023","Kendrick Lamar","27","Hip-Hop"
"2023","The Strokes","12","indie rock"
"2023","King Gizzard & The Lizard Wizard","214","Psychedelic Rock"
"2023","Wiz Khalifa","9","Hip-Hop"
"2023","Big K.R.I.T.","3","Hip-Hop"
"2023","Smoke DZA","1","Hip-Hop"
"2023","Nxworries","105","soul"
"2023","Digitalism","80","electronic"
"2023","Jamie xx","120","electronic"
"2023","Tame Impala","46","Psychedelic Rock"
"2023","BAYNK","14","electronic"
"2023","Four Tet","78","electronic"
"2023","Bonobo","106","downtempo"
"2023","Brock Berrigan","129","trip-hop"
"2023","MedaSin","59","trap"
"2023","Maribou State","7","ambient"
"2023","Shook","5","electronic"
"2023","Flying Lotus","33","electronic"
"2023","weird inside","8","instrumental hip-hop"
"2023","Chrome Sparks","65","chillwave"
"2023","Vanilla","11","screamo"
"2023","Frank Ocean","48","rnb"
"2023","TOKiMONSTA","35","electronic"
"2023","Nujabes","70","Hip-Hop"
"2023","Clams Casino","12","Hip-Hop"
"2023","Ark Patrol","7","electronic"
"2023","Caribou","18","electronic"
"2023","Ta-ku","10","Hip-Hop"
"2023","Jinsang","5","instrumental"
"2023","Tycho","41","ambient"
"2023","Shlohmo","15","experimental"
"2023","Thundercat","10","funk"
"2023","Boards of Canada","122","ambient"
"2023","Unknown Mortal Orchestra","26","Lo-Fi"
"2023","EASTGHOST","12","trap"
"2023","Mount Kimbie","10","dubstep"
"2023","Tyler, the Creator","216","Hip-Hop"
"2023","The Cure","2","post-punk"
"2023","Tobacco","2","psychedelic"
"2023","Guilty Simpson","1","Hip-Hop"
"2023","Madeon","18","electronic"
"2023","KOAN Sound","8","dubstep"
"2023","Lone","13","idm"
"2023","RJD2","9","Hip-Hop"
"2023","Stereo Cube","1","future garage"
"2023","James Blake","16","dubstep"
"2023","Jamiroquai","4","funk"
"2023","The Geek x Vrv","18","jazz"
"2023","Talstrasse 3-5","1","House"
"2023","Pendulum","31","Drum and bass"
"2023","Disclosure","95","electronic"
"2023","Grum","20","electronic"
"2023","Jerry Folk","22","Norway"
"2023","Danger","19","electro"
"2023","Voll Okay","2","RocketbeansTV"
"2023","Poetically","1","electro house"
"2023","NxWorries","8","soul"
"2023","Aim","3","trip-hop"
"2023","Simian Mobile Disco","64","electronic"
"2023","Gorillaz","225","alternative"
"2023","Purity Ring","5","electronic"
"2023","Flux Pavilion","5","dubstep"
"2023","Gesaffelstein","11","techno"
"2023","Justice","77","electronic"
"2023","Suff Daddy","13","instrumental"
"2023","Noisia","73","Drum and bass"
"2023","Yassin","9","Hip-Hop"
"2023","Sofi Tukker","3","dance"
"2023","David Guetta","4","House"
"2023","CoryaYo","1","Hip-Hop"
"2023","Busdriver","3","Hip-Hop"
"2023","Jurassic 5","1","Hip-Hop"
"2023","Calvin Harris","6","electronic"
"2023","Toro y Moi","98","chillwave"
"2023","Jakey","227","Hip-Hop"
"2023","Emika","5","dubstep"
"2023","Yvette Young","1","math rock"
"2023","Coubo","1","instrumental hip-hop"
"2023","FKA twigs","48","trip-hop"
"2023","Rezz","7","electronic"
"2023","Skrillex","269","dubstep"
"2023","TomppaBeats","8","beats"
"2023","Falside","2","instrumental hip-hop"
"2023","Brodinski","1","electro"
"2023","Sebastian","70","electro"
"2023","Dankmus.","10","electronic"
"2023","Oliver Sim","44","indie"
"2023","DUCKWRTH","2","Hip-Hop"
"2023","Marvin Gaye","5","soul"
"2023","Lee "Scratch" Perry","1","dub"
"2023","FrankJavCee","10","vaporwave"
"2023","The Remnant","1","metalcore"
"2023","ICYTWAT","3","ambient"
"2023","A.L.I.S.O.N","9","chillwave"
"2023","Muse","1","alternative rock"
"2023","The White Stripes","2","rock"
"2023","Boys Noize","19","electro"
"2023","Everydayz","3","Hip-Hop"
"2023","Stuck in the Sound","2","french"
"2023","Lørean","1","electronic"
"2023","Tinlicker","21","electronic"
"2023","Emil Rottmayer","12","synthwave"
"2023","Umse","4","Hip-Hop"
"2023","BLOWSOM","1","indie pop"
"2023","The Prodigy","80","electronic"
"2023","LCD Soundsystem","255","electronic"
"2023","Joy Division","2","post-punk"
"2023","Huss und Hodn","1","Deutschrap"
"2023","DAT ADAM","1","cloud rap"
"2023","Anderson .Paak","5","soul"
"2023","Finch","3","emo"
"2023","MONDO GROSSO","11","acid jazz"
"2023","Yung Hurn","11","cloud rap"
"2023","toe","6","post-rock"
"2023","Deathpact","8","Technical Death Metal"
"2023","Netsky","3","Drum and bass"
"2023","Owl Vision","6","electronic"
"2023","SBCR","1","electro house"
"2023","Current Value","13","Drum and bass"
"2023","JOYRYDE","1","bass house"
"2023","DROELOE","9","electronic"
"2023","araabMUZIK","1","instrumental hip-hop"
"2023","Crack Ignaz","30","Hip-Hop"
"2023","Madvillain","9","Hip-Hop"
"2023","KIDS SEE GHOSTS","3","Hip-Hop"
"2023","Retrogott","1","Hip-Hop"
"2023","Audio88","41","abstract hip-hop"
"2023","Yes","2","Progressive rock"
"2023","XXX","1","hard rock"
"2023","Aesop Rock","6","Hip-Hop"
"2023","Jessie Ware","1","soul"
"2023","Joji","15","Lo-Fi"
"2023","Drake","5","Hip-Hop"
"2023","YOUNG KRILLIN","3","trap"
"2023","LGoony","7","cloud rap"
"2023","Mine","1","hardcore"
"2023","QUICKLY, QUICKLY","30","Lo-Fi"
"2023","Inteus","1","phonk"
"2023","Jaeden Camstra","3","Hip-Hop"
"2023","90sFlav","1","beats"
"2023","Maitro","3","vaporwave"
"2023","your best friend jippy","9","Hip-Hop"
"2023","paulie leparik","3","electronic"
"2023","lvusm","1","instrumental"
"2023","architecture in tokyo","4","vaporwave"
"2023","Yuni Wa","4","vaporwave"
"2023","C418","8","ambient"
"2023","Lucy In Disguise","2","synthwave"
"2023","Adrian","1","heavy metal"
"2023","tomcbumpz","1","Lo-Fi"
"2023","elijah who","1","Lo-Fi"
"2023","VAPERROR","3","vaporwave"
"2023","glue70","3","big beat"
"2023","ぬいぐるみクレヨン Lush Crayon","1","vaporwave"
"2023","College","1","synthpop"
"2023","potsu","2","nu jazz"
"2023","Machine Girl","73","breakcore"
"2023","猫 シ Corp.","1","vaporwave"
"2023","Washed Out","18","chillwave"
"2023","Aphex Twin","52","electronic"
"2023","Jasper Byrne","2","ambient"
"2023","trushinitas","3","vaporwave"
"2023","j^p^n","4","Hip-Hop"
"2023","Molchat Doma","4","post-punk"
"2023","KaytrAminé","92","electronic"
"2023","Knxwledge","3","instrumental hip-hop"
"2023","Sophie","53","bubblegum bass"
"2023","Sam Gellaitry","134","future bass"
"2023","⣎⡇ꉺლ༽இ•̛)ྀ◞ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ","3","electronic"
"2023","Tkay Maidza","5","Hip-Hop"
"2023","Mild Minds","28","electronic"
"2023","Moderat","92","electronic"
"2023","Hudson Mohawke","76","electronic"
"2023","Kowloon","2","japanese"
"2023","Karma Fields","50","electronic"
"2023","Hermitude","2","instrumental hip-hop"
"2023","Kanye West","16","Hip-Hop"
"2023","Freddie Gibbs","4","Hip-Hop"
"2023","Mid-Air Thief","1","folktronica"
"2023","MGMT","31","electronic"
"2023","Exmag","1","soul"
"2023","Charli XCX","15","pop"
"2023","Mark Ronson","4","funk"
"2023","Birocratic","2","Hip-Hop"
"2023","Drive45","1","neon"
"2023","Just A Gent","6","trap"
"2023","Larytta","1","electronic"
"2023","War","1","funk"
"2023","ev.exi","1","future funk"
"2023","Classixx","4","electronic"
"2023","Anamanaguchi","1","chiptune"
"2023","Fusq","1","electronic"
"2023","Sorcha Richardson","3","dream pop"
"2023","MANWOLVES","3","jazz"
"2023","MF DOOM","2","Hip-Hop"
"2023","Kool Keith","1","Hip-Hop"
"2023","Porter Robinson","36","electro house"
"2023","Caravan Palace","3","electro-swing"
"2023","JAY-Z","4","Hip-Hop"
"2023","No Mana","16","electronic"
"2023","Yelle","2","french"
"2023","Lifelike","1","electronic"
"2023","The Touch","1","electronic"
"2023","DMX","2","Hip-Hop"
"2023","Snoop Dogg","3","Hip-Hop"
"2023","김예림","2","Korean"
"2023","Yves Tumor","104","ambient"
"2023","Aso","2","chillhop"
"2023","Guns N' Roses","2","hard rock"
"2023","TERROR REID","1","Hip-Hop"
"2023","Sweet Valley","2","instrumental hip-hop"
"2023","Midnight To Monaco","1","pop"
"2023","Kill Paris","11","dubstep"
"2023","Camo & Krooked","36","Drum and bass"
"2023","Uppermost","14","electronic"
"2023","jay worthy","1","Hip-Hop"
"2023","Conte","3","indie"
"2023","Kill the Noise","7","dubstep"
"2023","Breakwater","1","emo"
"2023","Mac Quayle","2","Soundtrack"
"2023","PRXZM","1","indie"
"2023","Yoshiya Terayama","1","null"
"2023","iZNiiK","1","electronic"
"2023","Mura Masa","12","electronic"
"2023","Pogo","1","electronic"
"2023","Reol","1","j-pop"
"2023","Coast Modern","1","indie pop"
"2023","Mac DeMarco","55","Lo-Fi"
"2023","AcesToAces","1","future funk"
"2023","King Luan","1","rock"
"2023","DAOKO","1","japanese"
"2023","Charisma.com","1","japanese"
"2023","ODESZA","17","chillwave"
"2023","Bodysync","9","dance"
"2023","Peter Fox","3","german"
"2023","Toby Fox","2","Soundtrack"
"2023","shadient","1","UK"
"2023","Mr. Oizo","8","electronic"
"2023","Tabby","2","Hip-Hop"
"2023","Rival Consoles","1","idm"
"2023","Feed Me","23","dubstep"
"2023","Orchestre Lamoureux","7","Classical"
"2023","Jackson and His Computer Band","7","idm"
"2023","Death from Above 1979","111","indie"
"2023","Knife Party","18","dubstep"
"2023","Neosignal","5","Drum and bass"
"2023","Pythius","2","neurofunk"
"2023","Vulfpeck","2","funk"
"2023","Dieselboy","1","Drum and bass"
"2023","Metronomy","10","electronic"
"2023","M|O|O|N","36","electronic"
"2023","M83","3","electronic"
"2023","Breakbot","9","electronic"
"2023","Thys","4","idm"
"2023","Feist","1","female vocalists"
"2023","Delta Heavy","1","Drum and bass"
"2023","Logic","10","Hip-Hop"
"2023","RL Grime","7","trap"
"2023","Rin","6","japanese"
"2023","kiefer","3","jazz"
"2023","Mac Miller","8","Hip-Hop"
"2023","Hippie Sabotage","1","electronic"
"2023","Fred again..","43","House"
"2023","Trentemøller","1","electronic"
"2023","Booka Shade","1","minimal"
"2023","Silent Poets","4","trip-hop"
"2023","Grimes","13","electronic"
"2023","Nero","24","dubstep"
"2023","Luttrell","2","House"
"2023","Wu-Tang Clan","17","Hip-Hop"
"2023","Mastodon","2","Progressive metal"
"2023","Ran-D","2","hardstyle"
"2023","Spor","3","Drum and bass"
"2023","Topi","3","electronic"
"2023","Chime","1","electronic"
"2023","Mord Fustang","10","electro house"
"2023","The Notorious B.I.G.","4","Hip-Hop"
"2023","Evil Nine","2","breakbeat"
"2023","Spectrasoul","4","Drum and bass"
"2023","Kenny Beats","9","beats"
"2023","RÜFÜS DU SOL","8","electronic"
"2023","Saturn Genesis","1","Hip-Hop"
"2023","Mr.Troy","1","Hip-Hop"
"2023","Orbital","4","electronic"
"2023","Cormac","2","BPitch Control"
"2023","Japanese Breakfast","1","dream pop"
"2023","Christian Nanzell","1","null"
"2023","Bearcubs","4","experimental"
"2023","Bob Juburi","1","Hip-Hop"
"2023","EPMD","3","Hip-Hop"
"2023","OVERWERK","11","electronic"
"2023","Ambientcloud","1","ambient"
"2023","jhfly","3","beats"
"2023","deadmau5","46","House"
"2023","How to Destroy Angels","1","industrial"
"2023","Sebastian feat. Mayer Hawthorne","1","null"
"2023","Lakou Mizik","56","haiti"
"2023","Adolf Nomura","25","electronic"
"2023","Santangelo","23","pop"
"2023","IMANU","4","electronic"
"2023","Point Point","29","wonky"
"2023","Sevish","1","electronic"
"2023","Sweet Trip","17","shoegaze"
"2023","Tennyson","2","electronic"
"2023","Floating Points","13","electronic"
"2023","Devonwho","3","Hip-Hop"
"2023","Ford.","1","electronic"
"2023","Vegyn","1","electronic"
"2023","Dorian Concept","2","electronic"
"2023","Bjarki","1","techno"
"2023","TAT","1","punk rock"
"2023","||||||||||||||||||||","2","electronic"
"2023","Haywyre","6","dubstep"
"2023","Jai Paul","6","experimental"
"2023","Djrum","2","dubstep"
"2023","Keys N Krates","2","trap"
"2023","The Chemical Brothers","38","electronic"
"2023","Burial","10","dubstep"
"2023","Fredfades","1","Hip-Hop"
"2023","Magnus Pålsson","4","Soundtrack"
"2023","Blur","2","britpop"
"2023","Sycco","8","pop"
"2023","Slow Magic","2","chillwave"
"2023","gyrofield","1","Drum and bass"
"2023","Sungazer","4","jazz fusion"
"2023","Mona San","3","electronic"
"2023","Men I Trust","1","dream pop"
"2023","The Toxic Avenger","3","electro"
"2023","The Prototypes","1","Drum and bass"
"2023","Nightstop","2","synthwave"
"2023","Shinichi Osawa","2","electronic"
"2023","Lorn","2","idm"
"2023","Allied","1","neurofunk"
"2023","Local Natives","2","indie"
"2023","Betty Ford Boys","3","Hip-Hop"
"2023","Green Day","2","punk rock"
"2023","Great Dane","3","trap"
"2023","Ehrling","1","electronic"
"2023","JPEGMAFIA","3","Hip-Hop"
"2023","Beyoncé","4","rnb"
