tag,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"electronic","1","1","1","1","1","1","1","2","2","1","1","1","1"
"alternative","2","5","6","13","13","6","4","7","22","5","12","11","9"
"Drum and bass","3","4","3","4","3","4","5","8","8","8","9","10","10"
"House","4","2","5","7","6","8","9","12","17","11","10","12","11"
"dubstep","5","3","4","2","2","3","3","3","6","3","3","9","3"
"electro house","","6","7","8","8","12","13","18","25","20","6","16","26"
"Soundtrack","","7","14","18","23","19","10","23","16","19","25","22","18"
"chiptune","","8","10","26","","","","","","","","",""
"8-bit","","9","12","22","28","","","","","","","",""
"french house","","10","22","","","","","","","","","",""
"experimental","","11","13","24","","22","","","","","19","20","22"
"turntablism","","12","16","19","30","30","24","","","","","",""
"math rock","","13","27","","","","","","","","","",""
"electro","","14","2","3","4","5","6","10","4","4","8","7","12"
"rock","","15","25","23","17","23","","","26","22","27","",""
"techno","","","8","12","26","20","25","","","","","",""
"ambient","","","9","9","11","11","11","9","9","10","11","13","5"
"glitch","","","11","11","","29","28","","","","","",""
"Grime","","","15","14","22","","29","","","","","",""
"indie","","","17","6","10","18","14","16","21","12","16","5","7"
"Hip-Hop","","","18","5","5","2","2","1","1","2","2","2","2"
"nu-disco","","","19","","","","","","","","","",""
"moombahton","","","20","21","","","","","","","","",""
"chillwave","","","21","10","9","14","16","6","5","6","5","3","6"
"black metal","","","23","","","","","","","","","",""
"new rave","","","24","","","","","","","","","",""
"psychedelic","","","26","","","","","","","","","",""
"Garage Rock","","","28","30","","","","","","","","",""
"female vocalists","","","29","29","","","","","","","","",""
"synthwave","","","30","27","21","27","22","17","18","28","23","29",""
"punk","","","","15","29","28","30","","","","","",""
"idm","","","","16","","","","","28","","","30","28"
"darkstep","","","","17","18","","26","","","","","",""
"mashup","","","","20","","","","","","","","",""
"trap","","","","25","12","21","21","14","19","13","15","15","17"
"trance","","","","28","","15","20","28","","","","",""
"abstract hip-hop","","","","","7","7","7","20","","23","","25",""
"dancehall","","","","","14","24","","","","","","",""
"reggae","","","","","15","10","15","25","","","30","",""
"cloud rap","","","","","16","26","19","11","15","29","","",""
"instrumental hip-hop","","","","","19","16","12","13","13","16","7","8","24"
"german","","","","","20","25","","","","","","",""
"pop","","","","","24","","","21","12","14","17","19","20"
"trip-hop","","","","","25","13","8","5","7","7","4","4","4"
"Deutschrap","","","","","27","9","18","26","10","15","26","",""
"instrumental","","","","","","17","23","22","","","","",""
"japanese","","","","","","","17","","","","","",""
"big beat","","","","","","","27","","","","","",""
"rnb","","","","","","","","4","3","9","20","17","21"
"jazz","","","","","","","","15","24","25","28","27","29"
"Lo-Fi","","","","","","","","19","14","17","14","18","14"
"soul","","","","","","","","24","","","","24","13"
"vaporwave","","","","","","","","27","30","27","","","30"
"chillout","","","","","","","","29","","","","",""
"beats","","","","","","","","30","29","","29","",""
"Psychedelic Rock","","","","","","","","","11","18","13","23","8"
"wonky","","","","","","","","","20","","","",""
"deep house","","","","","","","","","23","","","",""
"80s","","","","","","","","","27","","","",""
"classic rock","","","","","","","","","","21","","",""
"new wave","","","","","","","","","","24","","",""
"funk","","","","","","","","","","26","24","28",""
"downtempo","","","","","","","","","","30","21","14","16"
"bubblegum bass","","","","","","","","","","","18","6","25"
"indie pop","","","","","","","","","","","22","21","19"
"future bass","","","","","","","","","","","","26","15"
"breakcore","","","","","","","","","","","","","23"
"haiti","","","","","","","","","","","","","27"
