tag,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"electronic","1","1","1","1","1","1","1","2","2","1","1","1","1"
"alternative","2","5","6","13","12","6","4","8","23","5","12","12","10"
"Drum and bass","3","4","3","4","3","4","5","9","9","8","9","11","11"
"House","4","2","5","7","5","7","9","13","18","11","10","14","15"
"dubstep","5","3","4","2","2","2","3","3","7","3","3","10","3"
"electro house","","6","7","8","7","12","13","20","25","21","6","17","29"
"Soundtrack","","7","14","18","21","20","10","24","17","20","27","23","19"
"chiptune","","8","10","24","37","48","","","","","","",""
"8-bit","","9","12","20","26","36","34","","","","","",""
"french house","","10","21","45","","","","","","","36","",""
"experimental","","11","13","22","","23","32","36","38","33","20","21","23"
"math rock","","12","26","","","","","","43","","","",""
"electro","","13","2","3","4","5","6","12","4","4","8","8","12"
"rock","","14","24","21","16","24","38","38","26","24","30","34","39"
"techno","","","8","12","24","21","25","33","42","45","38","40","37"
"ambient","","","9","9","9","11","11","10","10","10","11","13","6"
"glitch","","","11","11","29","28","28","39","","46","50","33",""
"Grime","","","15","14","20","29","30","","","","","45","50"
"Hip-Hop","","","16","5","6","3","2","1","1","2","2","2","2"
"indie","","","17","6","10","18","14","17","22","12","17","7","8"
"nu-disco","","","18","40","","","","","","","","",""
"moombahton","","","19","19","41","","46","","","","","",""
"chillwave","","","20","10","8","14","17","7","6","6","5","3","7"
"black metal","","","22","30","","","","","","","","",""
"new rave","","","23","33","","","","","","","","",""
"psychedelic","","","25","36","","","","","","","","",""
"Garage Rock","","","27","29","","","","","","","","",""
"female vocalists","","","28","28","","","","","","","","",""
"synthwave","","","29","26","19","26","23","18","19","28","25","28","33"
"french","","","30","46","","","45","","","","","",""
"noise rock","","","31","41","","","","","","","","",""
"Electroclash","","","32","32","","","","","","","","",""
"speedcore","","","33","35","","","","","","","","",""
"pop","","","34","","22","34","","22","13","15","18","20","21"
"britpop","","","35","43","","39","","","","","","",""
"hyphy","","","36","","","","","","","","","",""
"soul","","","37","","","","","25","33","36","37","25","13"
"hard rock","","","38","","","","43","","","","","",""
"emo","","","39","","","","","","","","","",""
"dumblecore","","","40","","","33","","","","","","",""
"Progressive House","","","41","","47","38","47","","","","","",""
"rnb","","","42","","46","","","5","3","9","21","18","22"
"punk","","","","15","27","27","33","","","37","","",""
"idm","","","","16","28","42","31","42","28","42","35","30","30"
"darkstep","","","","17","17","31","26","","","","","",""
"trap","","","","23","11","22","22","15","20","13","16","16","18"
"turntablism","","","","25","43","47","29","","","","","",""
"trance","","","","27","39","15","21","29","41","39","43","46","49"
"trip-hop","","","","31","23","13","8","6","8","7","4","4","5"
"industrial","","","","34","","","","","","","","",""
"video game music","","","","37","","","","","","","","",""
"boy der am block chillt","","","","38","48","","","","","","","",""
"minimal","","","","39","","30","35","40","","","","",""
"fidget house","","","","42","","","","","","","","",""
"post-grunge","","","","44","","","","","","","","",""
"Canadian","","","","47","","","","","","","","",""
"new wave","","","","48","","50","41","44","47","25","44","50",""
"Scottish","","","","49","","","","","","","","",""
"reggae","","","","50","14","10","16","26","39","35","32","31","40"
"rap","","","","","13","19","7","4","5","14","14","5","4"
"cloud rap","","","","","15","25","19","11","16","30","34","43","45"
"instrumental hip-hop","","","","","18","16","12","14","14","17","7","9","26"
"Deutschrap","","","","","25","9","20","27","11","16","29","41",""
"folk","","","","","30","","42","","","","40","",""
"hip hop","","","","","31","8","15","21","31","23","24","32","25"
"dub","","","","","32","32","37","","","","","",""
"punk rock","","","","","33","44","","","","","","",""
"funk","","","","","34","37","36","46","36","29","26","29","36"
"deutschpunk","","","","","35","","","","","","","",""
"indie rock","","","","","36","","","","","","","42",""
"horses and ponies and unicorns too","","","","","38","41","","","","","","",""
"wonky","","","","","40","","49","41","21","50","","39","35"
"german","","","","","42","40","","45","","","","",""
"80s","","","","","44","","","43","27","38","49","",""
"shoegaze","","","","","45","","","","","","","","41"
"doom metal","","","","","49","","","","","","","",""
"comedy","","","","","50","","39","","","","","",""
"instrumental","","","","","","17","24","23","","44","39","49","42"
"folk metal","","","","","","35","","","","","","",""
"vaporwave","","","","","","43","50","28","30","27","41","35","32"
"downtempo","","","","","","45","40","35","","31","22","15","17"
"UK hip hop","","","","","","46","","","","","","",""
"jazz","","","","","","49","","16","24","26","28","27","31"
"japanese","","","","","","","18","32","35","48","","",""
"big beat","","","","","","","27","","","","","",""
"dance","","","","","","","44","","","34","48","37","48"
"singer-songwriter","","","","","","","48","","","","","",""
"Lo-Fi","","","","","","","","19","15","18","15","19","14"
"chillout","","","","","","","","30","46","49","42","",""
"beats","","","","","","","","31","29","32","31","36","34"
"indie pop","","","","","","","","34","44","41","23","22","20"
"post-rock","","","","","","","","37","34","40","45","48",""
"Progressive rock","","","","","","","","47","","","47","",""
"polygenre","","","","","","","","48","","","","",""
"synthpop","","","","","","","","49","40","43","","47",""
"post-punk","","","","","","","","50","48","","","",""
"Psychedelic Rock","","","","","","","","","12","19","13","24","9"
"Norway","","","","","","","","","32","","","","44"
"Technical Death Metal","","","","","","","","","37","","","",""
"Classical","","","","","","","","","45","47","","38",""
"future funk","","","","","","","","","49","","","",""
"eurodance","","","","","","","","","50","","","",""
"classic rock","","","","","","","","","","22","33","44","43"
"bubblegum bass","","","","","","","","","","","19","6","27"
"hyperpop","","","","","","","","","","","46","",""
"future bass","","","","","","","","","","","","26","16"
"breakcore","","","","","","","","","","","","","24"
"haiti","","","","","","","","","","","","","28"
"heavy metal","","","","","","","","","","","","","38"
"electropop","","","","","","","","","","","","","46"
"Progressive metal","","","","","","","","","","","","","47"
