tag,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Electronic","1","1","1","1","1","1","1","2","2","1","1","1","1"
"Alternative","2","5","6","13","13","6","4","7","21","5","12","11","9"
"Drum And Bass","3","4","3","4","3","4","5","8","8","8","9","10","10"
"House","4","2","5","7","6","8","9","12","16","11","10","12","11"
"Dubstep","5","3","4","2","2","3","3","3","6","3","3","9","3"
"Electro House","","6","7","8","8","11","13","18","25","19","6","16","27"
"Chiptune","","7","9","18","22","26","27","","","","","",""
"Soundtrack","","8","13","19","24","18","10","23","15","18","25","22","18"
"French House","","9","21","","","","","","","","","",""
"Experimental","","10","12","24","","21","","","","","19","20","22"
"Turntablism","","11","16","20","29","","23","","","","","",""
"Math Rock","","12","26","","","","","","","","","",""
"Electro","","13","2","3","4","5","6","10","4","4","8","7","12"
"Rock","","14","24","23","17","22","","","23","21","26","",""
"Techno","","","8","12","27","19","24","","","","","",""
"Ambient","","","10","9","11","10","11","9","9","10","11","13","5"
"Glitch","","","11","11","","29","28","","","","","",""
"Indie","","","14","6","10","17","14","15","18","12","16","5","7"
"Grime","","","15","14","23","","29","","","","","",""
"Hip-Hop","","","17","5","5","2","2","1","1","2","2","2","2"
"Nu-disco","","","18","","","","","","","","","",""
"Moombahton","","","19","22","","","","","","","","",""
"Chillwave","","","20","10","9","13","16","6","5","6","5","3","6"
"Black Metal","","","22","29","","","","","","","","",""
"New Rave","","","23","","","","","","","","","",""
"Psychedelic","","","25","","","","","","","","","",""
"Garage Rock","","","27","28","","","","","","","","",""
"Synthwave","","","28","26","21","27","21","17","17","27","23","29",""
"Noise Rock","","","29","","","","","","","","","",""
"Indie Pop","","","30","","","","","30","","","22","21","19"
"Punk","","","","15","28","28","30","","","","","",""
"Idm","","","","16","30","","","","27","","","30","28"
"Darkstep","","","","17","18","","25","","","","","",""
"Mashup","","","","21","","","","","","","","",""
"Trap","","","","25","12","20","20","14","19","13","15","15","17"
"Trance","","","","27","","14","19","28","","","","",""
"Trip-hop","","","","30","26","12","8","5","7","7","4","4","4"
"Abstract Hip-hop","","","","","7","7","7","20","","22","","25",""
"Dancehall","","","","","14","23","","","","","","",""
"Reggae","","","","","15","9","15","26","","","29","",""
"Cloud Rap","","","","","16","25","18","11","14","28","","",""
"Instrumental Hip-hop","","","","","19","15","12","13","12","15","7","8","25"
"German","","","","","20","24","","","","","","",""
"Pop","","","","","25","30","","21","11","14","17","19","20"
"Instrumental","","","","","","16","22","22","","","","",""
"Japanese","","","","","","","17","","","","","",""
"Big Beat","","","","","","","26","","","","","",""
"Rnb","","","","","","","","4","3","9","20","17","21"
"Jazz","","","","","","","","16","24","24","27","27","29"
"Lo-Fi","","","","","","","","19","13","16","14","18","14"
"Soul","","","","","","","","24","","","","24","13"
"Chillout","","","","","","","","25","","","","",""
"Vaporwave","","","","","","","","27","29","26","","","30"
"Beats","","","","","","","","29","28","30","28","",""
"Psychedelic Rock","","","","","","","","","10","17","13","23","8"
"Wonky","","","","","","","","","20","","","",""
"Deep House","","","","","","","","","22","","","",""
"80s","","","","","","","","","26","","","",""
"Disco","","","","","","","","","30","","","",""
"Classic Rock","","","","","","","","","","20","30","",""
"New Wave","","","","","","","","","","23","","",""
"Funk","","","","","","","","","","25","24","28",""
"Downtempo","","","","","","","","","","29","21","14","16"
"Bubblegum Bass","","","","","","","","","","","18","6","26"
"Future Bass","","","","","","","","","","","","26","15"
"Breakcore","","","","","","","","","","","","","23"
"Folk","","","","","","","","","","","","","24"
