year,count,artist
"2023","741","Flume"
"2023","269","Skrillex"
"2023","255","LCD Soundsystem"
"2023","227","Jakey"
"2023","225","Gorillaz"
"2023","216","Tyler, the Creator"
"2023","214","King Gizzard & The Lizard Wizard"
"2023","148","KAYTRANADA"
"2023","134","Sam Gellaitry"
"2023","129","Brock Berrigan"
"2022","2300","Flume"
"2022","708","Sophie"
"2022","661","FKA twigs"
"2022","633","Moderat"
"2022","612","Jamie xx"
"2022","582","Jakey"
"2022","525","Gorillaz"
"2022","484","Letherette"
"2022","481","M.I.A."
"2022","392","Tyler, the Creator"
"2021","1131","Tyler, the Creator"
"2021","810","Modeselektor"
"2021","731","Porter Robinson"
"2021","691","Brock Berrigan"
"2021","473","Gorillaz"
"2021","451","Letherette"
"2021","363","Flume"
"2021","317","Kanye West"
"2021","288","Grimes"
"2021","287","Daft Punk"
"2020","1468","Flume"
"2020","849","Dankmus."
"2020","553","Gorillaz"
"2020","473","Tyler, the Creator"
"2020","456","Childish Gambino"
"2020","433","Frank Ocean"
"2020","420","Brock Berrigan"
"2020","263","Sebastian"
"2020","260","20syl"
"2020","256","SSIO"
"2019","1622","Tyler, the Creator"
"2019","895","Frank Ocean"
"2019","594","Flume"
"2019","494","Brock Berrigan"
"2019","414","Toro y Moi"
"2019","410","Sebastian"
"2019","377","SSIO"
"2019","293","Yung Hurn"
"2019","292","King Gizzard & The Lizard Wizard"
"2019","202","Yassin"
"2018","953","Tyler, the Creator"
"2018","752","Frank Ocean"
"2018","696","Gorillaz"
"2018","586","Logic"
"2018","516","Yung Hurn"
"2018","512","Brock Berrigan"
"2018","484","Flume"
"2018","456","AllttA"
"2018","398","Kanye West"
"2018","310","Home"
"2017","962","Gorillaz"
"2017","519","Audio88"
"2017","488","AllttA"
"2017","317","Brock Berrigan"
"2017","310","deadmau5"
"2017","295","Justice"
"2017","234","Flume"
"2017","228","OVERWERK"
"2017","227","Daft Punk"
"2017","225","Camo & Krooked"
"2016","474","Gorillaz"
"2016","441","Audio88"
"2016","247","SSIO"
"2016","237","Flume"
"2016","234","deadmau5"
"2016","226","Symbiz"
"2016","195","Justice"
"2016","191","Tycho"
"2016","179","Camo & Krooked"
"2016","178","Daft Punk"
"2015","442","Audio88"
"2015","297","Daft Punk"
"2015","293","deadmau5"
"2015","267","Nero"
"2015","264","The Prodigy"
"2015","251","Sebastian"
"2015","248","Giraffage"
"2015","230","Jack Ü"
"2015","216","Symbiz"
"2015","208","Camo & Krooked"
"2014","961","Sebastian"
"2014","886","Uppermost"
"2014","720","Kanye West"
"2014","572","Justice"
"2014","511","Death from Above 1979"
"2014","489","Skrillex"
"2014","421","deadmau5"
"2014","390","Burial"
"2014","389","Danger"
"2014","377","Digitalism"
"2013","1519","Justice"
"2013","1246","Sebastian"
"2013","1140","Daft Punk"
"2013","1115","deadmau5"
"2013","724","Camo & Krooked"
"2013","681","Nero"
"2013","598","Gorillaz"
"2013","556","Noisia"
"2013","512","The Prodigy"
"2013","414","Kavinsky"
"2012","2382","Daft Punk"
"2012","1479","deadmau5"
"2012","1076","Gorillaz"
"2012","1045","Justice"
"2012","963","Pendulum"
"2012","787","Nero"
"2012","600","Madeon"
"2012","564","Skrillex"
"2012","261","Grum"
"2012","226","Does It Offend You, Yeah?"
"2011","509","Daft Punk"
"2011","101","Gorillaz"
"2011","100","Pendulum"
"2011","74","Justice"
"2011","67","deadmau5"
"2011","52","Madeon"
"2011","28","ΔNT"
"2011","15","Robot Science"
"2011","11","Skrillex"
"2011","8","The Prodigy"
