tag,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Soundtrack","0","159","111","104","86","94","285","184","276","202","207","233","117"
"trip-hop","0","0","0","19","81","199","492","819","598","621","844","1054","353"
"rap","0","0","0","1","164","114","664","916","867","326","430","847","373"
"electronic","658","5268","6228","4360","3317","2535","3382","4380","3487","4891","5892","7455","3022"
"seen live","0","10","92","169","441","333","200","382","389","326","346","858","289"
"Hip-Hop","0","0","63","850","396","881","1424","4569","3614","2834","3405","2554","806"
"instrumental hip-hop","0","0","0","0","108","138","273","473","322","270","676","621","61"
"chillwave","0","0","26","417","321","192","176","723","745","622","814","1088","341"
"downtempo","0","0","0","0","5","25","29","106","36","120","248","427","136"
"indie pop","0","0","0","0","0","5","14","106","64","74","233","249","103"
"pop","0","0","4","0","82","37","15","198","335","313","336","298","99"
"experimental","0","20","114","54","8","77","45","102","76","90","283","286","86"
"indie rock","0","0","0","0","27","9","14","14","11","29","12","62","15"
"Psychedelic Rock","0","0","0","0","0","1","6","16","355","244","487","232","262"
"soul","0","0","2","0","7","3","6","162","110","87","100","195","159"
"trap","0","0","0","50","202","79","103","397","236","358","398","400","127"
"ambient","0","0","212","423","218","320","277","624","463","464","568","483","352"
"screamo","0","0","0","0","0","0","0","14","21","21","34","6","11"
"rnb","0","0","1","0","16","14","3","878","1017","492","266","340","87"
"instrumental","0","0","0","0","0","132","92","186","46","65","99","44","24"
"funk","0","0","0","0","32","31","37","59","87","124","209","127","34"
"Lo-Fi","0","0","0","0","0","0","12","258","322","252","417","308","148"
"dubstep","11","1536","1944","2280","1486","1056","1069","1092","725","729","916","611","475"
"post-punk","0","0","0","0","0","1","13","55","55","18","27","24","14"
"psychedelic","0","0","13","9","6","3","3","12","27","15","18","9","6"
"idm","0","0","0","196","53","27","46","75","144","69","104","120","47"
"future garage","0","0","0","0","0","0","1","41","15","19","28","32","15"
"jazz","0","0","0","0","3","20","15","325","155","143","171","135","45"
"House","67","1642","1319","524","486","413","461","496","274","411","570","438","145"
"Drum and bass","100","1198","1965","1067","894","616","788","670","490","555","584","599","223"
"Norway","0","0","0","0","0","1","1","14","115","25","24","11","23"
"electro","0","3","2745","2068","786","507","728","558","871","693","598","670","166"
"RocketbeansTV","0","0","0","0","0","1","1","1","1","0","1","1","2"
"electro house","0","177","308","456","340","208","255","253","152","189","806","347","55"
"alternative","101","1076","598","316","186","480","965","714","182","625","529","536","232"
"techno","0","0","293","337","71","83","84","108","67","63","100","73","32"
"dance","0","0","0","1","5","18","26","46","39","89","52","86","19"
"math rock","0","8","13","1","2","4","4","9","66","42","43","40","7"
"beats","0","0","0","0","0","6","13","117","139","94","136","89","36"
"dank","0","0","0","0","0","0","0","0","0","849","61","45","10"
"indie","0","0","53","580","215","123","185","315","222","375","357","674","271"
"dub","0","0","0","0","37","38","35","24","21","29","20","25","5"
"vaporwave","0","0","0","0","0","26","20","127","135","127","88","90","43"
"metalcore","0","0","0","0","7","5","14","5","10","5","9","7","5"
"alternative rock","0","0","0","0","1","0","0","2","4","34","7","12","5"
"rock","0","2","21","58","118","72","34","94","148","171","168","92","26"
"french","0","0","7","2","0","11","24","49","36","33","38","29","8"
"synthwave","0","0","8","34","103","53","99","293","255","124","217","128","42"
"hip hop","0","0","0","1","45","381","181","208","134","173","230","94","64"
"Deutschrap","0","0","0","1","68","362","121","139","425","277","168","66","15"
"cloud rap","0","0","0","0","139","56","130","565","321","123","106","60","23"
"emo","0","0","2","0","0","1","1","3","1","11","2","12","7"
"acid jazz","0","0","0","0","0","0","0","40","14","7","7","7","11"
"post-rock","0","0","0","0","5","2","14","94","102","75","68","46","13"
"Technical Death Metal","0","0","0","0","0","0","0","1","79","13","25","20","8"
"bass house","0","0","0","0","0","0","0","4","3","2","0","1","1"
"musik um sich allein zu betrinken","0","0","0","0","442","467","519","235","83","156","108","160","41"
"Progressive rock","0","0","0","0","0","1","1","59","14","20","56","13","4"
"hard rock","0","0","2","0","4","3","27","20","16","32","30","10","8"
"hardcore","0","0","0","0","1","4","0","6","3","40","37","13","9"
"phonk","0","0","0","0","0","0","0","38","17","12","22","34","2"
"heavy metal","0","0","0","0","4","4","3","16","13","45","16","8","28"
"big beat","0","0","0","0","0","0","63","20","10","14","21","16","8"
"synthpop","0","0","0","0","0","0","3","55","73","68","48","51","7"
"nu jazz","0","0","0","0","0","0","0","1","30","6","5","7","2"
"breakcore","0","0","0","0","0","0","0","0","0","5","1","0","73"
"bubblegum bass","0","0","0","0","0","0","0","0","31","43","284","738","60"
"future bass","0","0","0","0","0","2","5","27","35","16","41","137","141"
"japanese","0","0","0","0","0","0","174","108","94","51","43","20","16"
"folktronica","0","0","0","0","0","0","0","0","0","0","0","1","1"
"neon","0","0","0","0","0","0","0","0","1","0","0","0","1"
"future funk","0","0","0","0","0","0","8","39","51","21","29","15","7"
"chiptune","0","96","162","44","26","20","19","40","10","10","13","9","4"
"dream pop","0","0","0","0","1","0","0","6","9","8","22","39","14"
"electro-swing","0","0","0","0","0","1","2","13","4","8","11","42","3"
"Korean","0","0","0","0","0","0","1","8","2","4","3","3","5"
"chillhop","0","0","0","0","0","0","0","35","21","14","30","10","6"
"null","28","201","55","239","141","166","101","174","382","281","338","421","91"
"j-pop","0","0","0","0","1","1","0","9","19","6","2","17","2"
"german","0","0","0","0","22","28","6","64","25","35","17","13","6"
"UK","0","0","0","0","0","0","1","2","26","7","6","10","3"
"Classical","0","0","0","0","0","0","4","47","62","57","29","77","7"
"neurofunk","0","0","0","0","0","0","0","7","9","5","1","5","3"
"female vocalists","0","0","9","23","6","9","8","51","19","33","22","26","4"
"minimal","0","0","0","5","3","41","39","81","18","22","47","20","11"
"Progressive metal","0","0","0","0","2","6","2","11","27","38","18","21","20"
"hardstyle","0","0","0","0","8","6","0","8","11","8","1","2","2"
"breakbeat","0","0","0","0","0","0","0","10","24","9","13","25","2"
"BPitch Control","0","0","0","0","0","0","0","55","13","21","40","16","2"
"industrial","0","0","0","11","8","0","3","2","11","4","10","10","5"
"haiti","0","0","0","0","0","0","0","0","0","0","2","0","56"
"wonky","0","0","0","0","25","17","22","78","229","45","45","74","36"
"shoegaze","0","0","0","0","19","18","4","6","25","6","6","41","25"
"punk rock","0","0","0","0","34","26","1","21","8","28","8","20","3"
